_id,name,fatherId
1,农、林、牧、渔业,0
2,采矿业,0
3,制造业,0
4,电力、燃气及水的生产和供应,0
5,建筑业,0
6,交通运输、仓储和邮政,0
7,信息传输、计算机服务和软件业,0
8,批发和零售,0
9,卫生、社会保障和社会福利,0
10,文化、体育和娱乐业,0
11,农业,1
12,林业,1
13,畜牧业,1
14,渔业,1
15,农、林、牧、渔服务,1
16,煤炭开采和洗选业,2
17,石油和天然气开采,2
18,黑色金属矿采选,2
19,有色金属矿采选,2
20,非金属矿采选,2
21,其他采矿业,2
22,农副食品加工业,3
23,谷物磨制,3
24,饲料,3
25,植物油,3
26,制糖,3
27,屠宰及肉类,3
28,水产品,3
29,蔬菜、水果和坚果,3
30,其它农副食品,3
31,焙烧食品制造,3
32,电力、热力的生产和供应,4
33,燃气生产和供应,4
34,水的生产和供应,4
35,房屋和土木工程建筑,5
36,建筑安装,5
37,建筑装饰,5
38,其他建筑,5
39,铁路运输,6
40,道路运输,6
41,城市公共交通,6
42,水上运输,6
43,航空运输,6
44,管道运输,6
45,装卸搬运和其他运输,6
46,装卸搬运,6
47,电信和其他信息传输服务,7
48,电信,7
49,互联网信息,7
50,广播电视传输,7
51,卫星传输,7
52,计算机服务,7
53,计算机系统,7
54,批发,8
55,农畜产品,8
56,食品、饮料和烟草制品,8
57,纺织、服装及日用品,8
58,文化、体育用品及器材,8
59,卫生,9
60,社会保障,9
61,社会福利,9
62,新闻出版业,10
63,新闻业,10
64,出版,10
65,广播、电视、电影和音像,10
